serial,ppg,ppg_h,timestamp
11,-117.0,-63.0,2021-05-06 21:08:47+00:00
12,60.0,-63.0,2021-05-06 21:08:47+00:00
13,11.0,-63.0,2021-05-06 21:08:47+00:00
14,-26.0,-64.0,2021-05-06 21:08:47+00:00
15,-47.0,-64.0,2021-05-06 21:08:47+00:00
16,-55.0,-64.0,2021-05-06 21:08:47+00:00
17,-50.0,-64.0,2021-05-06 21:08:47+00:00
18,-47.0,-64.0,2021-05-06 21:08:47+00:00
19,-45.0,-64.0,2021-05-06 21:08:47+00:00
20,-36.0,-64.0,2021-05-06 21:08:47+00:00
21,-19.0,-64.0,2021-05-06 21:08:47+00:00
22,8.0,-63.0,2021-05-06 21:08:47+00:00
23,43.0,-63.0,2021-05-06 21:08:47+00:00
24,89.0,6.0,2021-05-06 21:08:47+00:00
0,-114.0,-63.0,2021-05-06 21:08:48+00:00
1,-50.0,-63.0,2021-05-06 21:08:48+00:00
2,-14.0,-63.0,2021-05-06 21:08:48+00:00
3,-51.0,-63.0,2021-05-06 21:08:48+00:00
4,-125.0,-63.0,2021-05-06 21:08:48+00:00
5,62.0,-63.0,2021-05-06 21:08:48+00:00
6,26.0,-63.0,2021-05-06 21:08:48+00:00
7,2.0,-63.0,2021-05-06 21:08:48+00:00
8,4.0,-63.0,2021-05-06 21:08:48+00:00
9,13.0,-63.0,2021-05-06 21:08:48+00:00
10,26.0,-63.0,2021-05-06 21:08:48+00:00
11,43.0,-63.0,2021-05-06 21:08:48+00:00
12,68.0,-63.0,2021-05-06 21:08:48+00:00
13,106.0,-63.0,2021-05-06 21:08:48+00:00
14,-117.0,-63.0,2021-05-06 21:08:48+00:00
15,-74.0,-63.0,2021-05-06 21:08:48+00:00
16,-22.0,-63.0,2021-05-06 21:08:48+00:00
17,21.0,-62.0,2021-05-06 21:08:48+00:00
18,38.0,-62.0,2021-05-06 21:08:48+00:00
19,-13.0,-63.0,2021-05-06 21:08:48+00:00
20,-92.0,-63.0,2021-05-06 21:08:48+00:00
21,113.0,-63.0,2021-05-06 21:08:48+00:00
22,87.0,-63.0,2021-05-06 21:08:48+00:00
23,79.0,-63.0,2021-05-06 21:08:48+00:00
24,83.0,-94.0,2021-05-06 21:08:48+00:00
0,97.0,-63.0,2021-05-06 21:08:49+00:00
1,108.0,-63.0,2021-05-06 21:08:49+00:00
2,116.0,-63.0,2021-05-06 21:08:49+00:00
3,-126.0,-63.0,2021-05-06 21:08:49+00:00
4,-90.0,-63.0,2021-05-06 21:08:49+00:00
5,-50.0,-63.0,2021-05-06 21:08:49+00:00
6,12.0,-62.0,2021-05-06 21:08:49+00:00
7,59.0,-62.0,2021-05-06 21:08:49+00:00
8,103.0,-62.0,2021-05-06 21:08:49+00:00
9,39.0,-62.0,2021-05-06 21:08:49+00:00
10,-85.0,-63.0,2021-05-06 21:08:49+00:00
11,23.0,-63.0,2021-05-06 21:08:49+00:00
12,-25.0,-64.0,2021-05-06 21:08:49+00:00
13,-74.0,-64.0,2021-05-06 21:08:49+00:00
14,102.0,-63.0,2021-05-06 21:08:49+00:00
15,-98.0,-62.0,2021-05-06 21:08:49+00:00
16,-62.0,-61.0,2021-05-06 21:08:49+00:00
17,-58.0,-62.0,2021-05-06 21:08:49+00:00
18,-22.0,-62.0,2021-05-06 21:08:49+00:00
19,7.0,-61.0,2021-05-06 21:08:49+00:00
20,60.0,-61.0,2021-05-06 21:08:49+00:00
21,114.0,-61.0,2021-05-06 21:08:49+00:00
22,-109.0,-61.0,2021-05-06 21:08:49+00:00
23,-89.0,-61.0,2021-05-06 21:08:49+00:00
24,127.0,-99.0,2021-05-06 21:08:49+00:00
0,21.0,-61.0,2021-05-06 21:08:50+00:00
1,-102.0,-62.0,2021-05-06 21:08:50+00:00
2,47.0,-62.0,2021-05-06 21:08:50+00:00
3,-28.0,-63.0,2021-05-06 21:08:50+00:00
4,-70.0,-63.0,2021-05-06 21:08:50+00:00
5,-91.0,-63.0,2021-05-06 21:08:50+00:00
6,-102.0,-63.0,2021-05-06 21:08:50+00:00
7,-111.0,-63.0,2021-05-06 21:08:50+00:00
8,-121.0,-63.0,2021-05-06 21:08:50+00:00
9,-128.0,-63.0,2021-05-06 21:08:50+00:00
10,-125.0,-63.0,2021-05-06 21:08:50+00:00
11,-116.0,-63.0,2021-05-06 21:08:50+00:00
12,-101.0,-63.0,2021-05-06 21:08:50+00:00
